epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
130,1804.53,2.09003,1.97189,1.74607,0.38575,0.36364,0.31988,0.11991,2.14058,1.96352,1.85914,0.0074458,0.0074458,0.0074458
131,1818.06,2.07898,1.95938,1.7503,0.39034,0.37107,0.33145,0.1293,2.10861,1.95743,1.85353,0.007426,0.007426,0.007426
132,1832.05,2.07507,1.96989,1.74827,0.39488,0.36513,0.33165,0.12942,2.11334,1.93404,1.86805,0.0074062,0.0074062,0.0074062
133,1846.11,2.05005,1.95248,1.73626,0.38506,0.3537,0.3217,0.12605,2.10865,1.96898,1.88977,0.0073864,0.0073864,0.0073864
134,1859.79,2.06333,1.96474,1.76249,0.38457,0.36082,0.31931,0.12278,2.11675,1.9716,1.83184,0.0073666,0.0073666,0.0073666
135,1873.44,2.05887,1.96438,1.74172,0.39415,0.37916,0.32396,0.13006,2.08879,1.93475,1.82849,0.0073468,0.0073468,0.0073468
136,1887.8,2.05881,1.93189,1.72695,0.38816,0.36866,0.34149,0.13784,2.08101,1.91346,1.83071,0.007327,0.007327,0.007327
137,1901.25,2.06379,1.96199,1.75171,0.3964,0.37187,0.33147,0.13568,2.06875,1.92711,1.82459,0.0073072,0.0073072,0.0073072
138,1914.97,2.06755,1.95871,1.73919,0.41127,0.37559,0.35423,0.14286,2.0888,1.89085,1.82516,0.0072874,0.0072874,0.0072874
139,1929.05,2.03706,1.92906,1.73559,0.39486,0.36448,0.33316,0.13499,2.10556,1.92613,1.83171,0.0072676,0.0072676,0.0072676
140,1943.1,2.05652,1.92352,1.72274,0.40682,0.34857,0.32848,0.13181,2.11343,1.92558,1.82512,0.0072478,0.0072478,0.0072478
141,1957.15,2.05711,1.92388,1.718,0.41678,0.38862,0.35412,0.14563,2.0638,1.87053,1.81529,0.007228,0.007228,0.007228
142,1970.08,2.05721,1.90529,1.72066,0.41318,0.36467,0.33839,0.13794,2.10262,1.9493,1.81364,0.0072082,0.0072082,0.0072082
143,1984.48,2.04825,1.91937,1.72414,0.40398,0.37635,0.35599,0.14489,2.06028,1.8972,1.79972,0.0071884,0.0071884,0.0071884
144,1998.07,2.04604,1.89947,1.71248,0.39927,0.39048,0.3573,0.14766,2.08137,1.89844,1.81417,0.0071686,0.0071686,0.0071686
145,2012.23,2.03952,1.91986,1.70908,0.44776,0.37745,0.3644,0.15244,2.03273,1.87034,1.78692,0.0071488,0.0071488,0.0071488
146,2025.87,2.03971,1.89775,1.70202,0.4555,0.3838,0.37939,0.15673,2.03663,1.87601,1.78668,0.007129,0.007129,0.007129
147,2040.78,2.01926,1.8829,1.70953,0.42324,0.39838,0.37172,0.15543,2.0377,1.85212,1.79354,0.0071092,0.0071092,0.0071092
148,2054.32,2.03913,1.89699,1.71506,0.43247,0.38316,0.36885,0.15121,2.07094,1.86386,1.7925,0.0070894,0.0070894,0.0070894
149,2067.63,2.04008,1.88745,1.71594,0.44607,0.39457,0.37653,0.15738,2.04797,1.86729,1.79834,0.0070696,0.0070696,0.0070696
150,2081.41,2.02768,1.8774,1.70855,0.44349,0.40337,0.3884,0.16671,2.00308,1.82019,1.76251,0.0070498,0.0070498,0.0070498
151,2095.37,2.02562,1.88004,1.69675,0.43606,0.40876,0.39276,0.16793,1.99342,1.81376,1.76558,0.00703,0.00703,0.00703
152,2109.23,2.02421,1.87301,1.69552,0.46273,0.41001,0.39979,0.16495,2.01629,1.81675,1.76879,0.0070102,0.0070102,0.0070102
153,2122.99,2.01487,1.85906,1.6874,0.44024,0.40246,0.38062,0.15469,2.05629,1.8279,1.80361,0.0069904,0.0069904,0.0069904
154,2136.56,2.01479,1.8482,1.67833,0.48773,0.39848,0.39721,0.16958,2.01361,1.80181,1.78204,0.0069706,0.0069706,0.0069706
155,2150.32,2.01333,1.83591,1.67525,0.50218,0.38889,0.39088,0.16209,2.02607,1.83451,1.79415,0.0069508,0.0069508,0.0069508
156,2164.26,2.01252,1.85431,1.68842,0.45079,0.39684,0.39956,0.17393,2.00548,1.81234,1.75361,0.006931,0.006931,0.006931
157,2178.64,2.01042,1.84477,1.68549,0.50069,0.37412,0.40465,0.17222,2.01719,1.81553,1.75836,0.0069112,0.0069112,0.0069112
158,2191.91,1.99614,1.82957,1.68028,0.4845,0.39127,0.39921,0.17536,2.01124,1.79306,1.75229,0.0068914,0.0068914,0.0068914
159,2205.95,1.99416,1.83553,1.66865,0.46814,0.37605,0.3822,0.16503,2.01946,1.80318,1.76645,0.0068716,0.0068716,0.0068716
160,2219.68,2.01024,1.84,1.684,0.45994,0.39015,0.38777,0.16732,2.04253,1.82354,1.76151,0.0068518,0.0068518,0.0068518
161,2233.69,1.99104,1.85078,1.68331,0.48582,0.38872,0.39589,0.17122,1.98996,1.81154,1.75799,0.006832,0.006832,0.006832
162,2247.29,2.0063,1.86522,1.68637,0.4667,0.42848,0.41938,0.17903,1.98261,1.78915,1.75681,0.0068122,0.0068122,0.0068122
163,2260.8,1.98787,1.82239,1.66789,0.50522,0.40392,0.42047,0.18281,1.98963,1.7907,1.76273,0.0067924,0.0067924,0.0067924
164,2274.44,2.00707,1.81851,1.66675,0.49838,0.41059,0.41588,0.18667,1.98149,1.75608,1.74134,0.0067726,0.0067726,0.0067726
